"","b3_BS_1a","b3_BS_2a","b3_BS_3c","b3_RT_1a","b3_RT_1b","b3_RT_2b","b3_RT_2c","b3_RT_3a","b3_RS_1a","b3_RS_2a","b3_RS_3a","b3_RZ_1a","b3_RZ_1c","b3_RZ_2a","b3_RZ_2c","b3_RZ_3b","b3_RZ_3c","b4_BS_1a","b4_BS_2b","b4_BS_3c","b4_RT_1a","b4_RT_1b","b4_RT_2b","b4_RT_2c","b4_RT_3a","b4_RT_3b","b4_RS_1c","b4_RS_2b","b4_RS_3c","b4_RZ_1a","b4_RZ_1b","b4_RZ_2b","b4_RZ_2c","b4_RZ_3a","b4_RZ_3b"
"co_bin.10",0,0,0,0,0,0,0,0,0,0,0.00350581326389621,0,0,0,0,0,0,0,0,0,0.00153796410970531,0.000976154769227339,0.00315527159111892,0.00195900223460916,0.00159489691010376,0.00092961718591246,0.00601293591205515,0.00908127996454124,0.00345596905529612,0.00490727740219864,0.00551629690401055,0.0103040258697258,0,0.00654497256713448,0
"co_bin.12",0,0,0,0.00540500168120358,0.00578769440222066,0,0.0120629359977425,0.00114876615823506,0.0342411161533214,0.0031663072925714,0.00925041836516886,0.0630371834101475,0.0723910732486779,0.0318760356927195,0.0801593029481501,0.0987040597792677,0.0669669652204023,0,0,0,0.00152673250750987,0.00189292012644423,0,0.00166870016895701,0.00099316246564436,0.000919610201568636,0.00880195679159137,0.0199049967043523,0.0292287542239584,0.0300027502828562,0.0318278175086426,0.0479639751413559,0.0859783120702182,0.0240347178730088,0.0616844887791091
"co_bin.13",0,0.030333216303803,0.00662815849846581,0,0,0.0032442666231449,0,0.00862180233137906,0,0.0376830175760876,0.0341968855276334,0,0,0.00220680241907953,0,0,0.00943974330247597,0.0400611441268988,0,0,0,0.00104007627381107,0.00929099809630463,0.000972035571036538,0.00283060997960232,0.00726726146048094,0.0131871232097051,0,0.0107887571933713,0.00429541184160984,0.00213110584102264,0.00282334221938511,0,0.00523230163599968,0.00450339032310423
"co_bin.14",0.0122702695790253,0.00876272390013172,0.0149257093267749,0.0282468994843194,0.0586949454018157,0.0324347264908074,0.0182560586446227,0.0170313529173682,0.0100595623685246,0.010753338542234,0.00773495676248982,0,0,0,0,0,0,0,0,0.0123168130967116,0.0295828738467814,0.0191880084794807,0.0281595162278333,0.0439547727876827,0.0308645454941612,0.0322648130732652,0.00658122392278131,0,0.00546742350880498,0.00125994497491056,0,0,0,0,0
"co_bin.16",0,0,0,0,0,0,0.0077447424887791,0,0.00675689315824396,0.00308442815271039,0.00434165747058597,0,0.00583245961835393,0.0189403829036871,0.00963084570294243,0.00898718623632704,0.0271003538970803,0,0,0,0.0019715865261415,0.00191708416247639,0.00676988140817562,0.0038656225326818,0.00353243687863642,0.00252236463619188,0.00591334084821141,0.0100422610773815,0.0122219024602745,0.00914715775734695,0.0195122695215447,0.0140899379188538,0.016130919681372,0.0160213581299556,0.0287625040909152
"co_bin.17",0,0,0,0,0,0,0,0,0,0.0070456283827887,0.00724712702327757,0,0,0,0,0,0,0.0325248302068752,0,0,0.00145472850786684,0.00570445290862782,0.00166764187105424,0.000952201609720164,0,0,0.0873308317990516,0.030860552162621,0,0.0283749857122285,0.0325849560568072,0.0196769330386743,0.00729518506841503,0,0
"co_bin.20",0.0246298438720429,0.0337251674955019,0.0636656516269788,0.0145547034905954,0.0154608650723796,0.0148966202453373,0.0517816993409622,0.0660816081155882,0.0302051798198315,0.0397302887899764,0.0179565035192927,0,0,0,0,0.00648182405334349,0,0.110111141931188,0,0.0250325001384467,0.00964082561459963,0.00592416994983498,0.004767470010922,0.00173456865279961,0.0270921258323091,0.0516860196221207,0.0148347150111192,0,0.00876214490356316,0.00101399847890893,0.00133864240839681,0,0,0,0
"co_bin.21",0,0.0126055534603936,0.0157741065374824,0.00183707952789818,0.00408894631418,0.00211878187607941,0,0.00506566688301541,0.00556126903930389,0.00917512480014797,0.0146274480563773,0.00430832052538546,0,0.00425834492150668,0,0,0.00388370560903607,0.0245574547696277,0.0113985517803497,0.00580841588638615,0.00455265725292961,0.00263699102884076,0.00661553004684804,0.0061754668560812,0.0039452945446757,0.00357474083466517,0.00814672720469842,0.0165157393881655,0.0125623412579218,0.00766313153960845,0.00321845397710545,0.00379633525294187,0,0.00469847336569567,0
"co_bin.22",0,0,0.00914984174120542,0.00458179273270733,0.0047602529802768,0.00662744993048959,0.00366380908251475,0.00672098776504358,0,0.00795040431215153,0.00495884706430762,0,0,0.00758510852204503,0,0.00483604665090946,0.00335394311920848,0,0.032917302406948,0,0.00394981593628071,0.00190917994419141,0.0304722005846667,0.00956711654352404,0.00614430262950149,0.00715592678919037,0.00569559532403154,0,0.00464892678004977,0.0038049195436974,0.00967790670572026,0.00702492992388319,0,0.00472007896789411,0.00434586968240873
"co_bin.24",0,0,0,0.00265403984879207,0,0.00663179412876529,0,0.00736362473170551,0.00524969163002031,0.00256409060129075,0.0099607734120197,0.0047123107304457,0.0165719836841525,0.00214703870850743,0,0,0,0,0,0,0.00150760387709284,0.00985910932723423,0,0.00126525114731441,0.00210931998988936,0.00611960582109268,0,0,0,0.00720581423072958,0.00558609407175524,0.00209899772190106,0,0,0
"co_bin.26",0,0,0,0,0,0.02757381854992,0.016510044227841,0.00196066551737249,0,0,0,0,0,0,0,0,0,0,0.157344938380768,0.0937795586465316,0,0,0.0352823214437494,0.0338141073030466,0.00555240713719876,0.0235759678932646,0,0.0127674717646956,0.00534591182691237,0,0,0.00117401068833876,0,0,0
"co_bin.27",0.0144941307774657,0.0176574744888112,0.0288612326457841,0.0186308107205217,0.00447066063603235,0.0310601384990629,0.00445162331617525,0.0482228966015397,0.0557053796953633,0.0292922181984579,0.0503796870820563,0.00357659131984321,0.00626708123571133,0.00354611558969255,0,0.00709829799892986,0.00367771758227768,0,0.0322051452933341,0.0302986967393152,0.0662381637005811,0.152278710639128,0.0455888572121435,0.058439826618545,0.060202339564003,0.0714788959069753,0.0493806956440754,0.0250975349742687,0.0302007289293077,0.0213036936341299,0.0178433370818192,0.0085995692266469,0.00545285488438043,0.00619376091471086,0
"co_bin.28",0.01510550338537,0.0206514366349934,0.00565309902562168,0.00740697019320729,0.0254638444321633,0.00639533011733365,0.0117154711720033,0.00125152669879699,0.0219789808573002,0.012527612582221,0.0154788739250955,0.0390330358177205,0.0575011866412549,0.0154442214216864,0.038939565039235,0.0182192166443427,0.0120593789354114,0,0,0.00695107569689414,0.00385041419634949,0.00082409246325737,0.00260902304660711,0.00185935861843718,0.00256080195645716,0.00129019619076742,0.0303699196187716,0.0320253652931162,0.0267516113539219,0.0111963198668012,0.00748558733326538,0.0179001023903944,0.00910146773839113,0.0138128095591793,0.0153673175159562
"co_bin.29",0,0,0,0,0,0.00426512444090646,0.00385469701458217,0.00275028455798189,0,0.0029298720108221,0.0144427622469631,0.00566638020151591,0,0.0372957454272685,0.0388139002835587,0.0276733317499783,0.0258281488332431,0,0,0,0.0197233653790777,0.00457974089058058,0.00292549385162891,0.00876735475370634,0.0100301965919114,0.00534820295972788,0.0131466640744961,0.00947431108366409,0.0167529325319256,0.0427639969115411,0.0267540294685235,0.0406268581927262,0.170871982633494,0.0755866327985419,0.0746177213747908
"co_bin.2",0.0102731828692419,0.0183711775806966,0.0125023572233214,0.0228105341174096,0.0191099951998889,0.0209833781433594,0.0073044020170195,0.0330881376199184,0.00541555126685402,0.0083808959726267,0.00553816134297683,0.00928984424837406,0,0,0,0.00408290600004503,0,0,0.00756256521179112,0.0104396472921342,0.0178928016429351,0.0373531066303746,0.0372329173968398,0.0284198736549395,0.0155722947917904,0.0142005991846309,0.00933682690621295,0,0.00313771471064775,0.0015522127720649,0.00476439405068332,0.00233760290125069,0.00336766320609815,0,0
"co_bin.32",0,0,0,0,0,0.0036461400852168,0.00722153745477149,0.00147759130527398,0.0121283010304739,0.00614902225477838,0.0053355227355884,0.0175149497914669,0.0373533232090371,0.0288456965636862,0.0300578933892273,0.0240914393249052,0.0141080396915844,0,0,0,0,0,0,0.00196037735262694,0.000922709056498933,0,0.00625091469239694,0,0.00545473336978749,0.00796770946568925,0.00191077029496513,0.00516027605387217,0,0.00592866319624757,0.00752935711492982
"co_bin.34",0.127251935084251,0,0.0274649462766121,0.00289858322912025,0.00728633470346002,0.0115394318845076,0,0.0130919912591517,0,0.00893209949473531,0.0063778503364874,0,0,0,0,0,0.0022304089575186,0.0462313009245747,0.0653994419670904,0.0117952900260708,0.0131188971464904,0.0126585926686081,0.0320766044085261,0.0180253960589113,0.0103837515931987,0.0397346326857045,0.0197987506092986,0.0294487721624951,0.0058931629631902,0.00382178227037679,0.005226929639776,0.00569794514516488,0,0.00408002338944323,0.00753589473354374
"co_bin.36",0,0.0368270788520018,0.00904574584372875,0,0.00580332196909485,0.00221883348452047,0.00260983442451343,0.00954702213899971,0,0.0440632166542645,0.0157037468348563,0,0,0.00553828274435428,0,0,0.0121964030514456,0.144009317199938,0,0.0140630869855959,0.0018490829075399,0.00543893873136264,0.00864683926452059,0.00303871641521732,0.0125020866104043,0.00491616673529083,0.0177025228258176,0.00782834208447141,0.0318527469168998,0.0101954924261885,0.0139288350859928,0.0168311428019018,0.00301270840948926,0.0247082083658941,0.00895217671666532
"co_bin.37",0,0,0.00674387183463109,0.00286161765726212,0,0.00127574275257216,0.00564082808221247,0.00132463517197943,0.0110265031961972,0.00643908216274947,0.00669104486045756,0.0352024721092994,0.0598759810397776,0.0253731974170267,0.0218795454303695,0.0162546270451181,0.0141462422583642,0,0,0,0,0,0,0.00103041560619272,0.00117615391000825,0.00250699857044822,0.00833665720903083,0.0092406689111898,0.0102810757860306,0.00786077365998298,0.0122625958234689,0.0161220108389087,0.0106155168442301,0.0135542266965798,0.0147823675514165
"co_bin.38",0,0,0,0,0,0,0.0517106284459496,0,0,0.00602376730018751,0.00504111119618542,0,0,0.0152818499196188,0,0,0.00557361038723589,0,0,0,0,0,0.00255835904356785,0.00166827675636231,0,0,0,0,0.00613189601192483,0.00538124559930361,0.00390709053492395,0,0.00435313219209149,0.00451933486027312,0.00393887704750588
"co_bin.3",0,0,0.0176071480518949,0.00449395050785606,0.00566917977105251,0.0166265216007869,0.00878546182309015,0.01673187143748,0.0108821880975192,0.0156403457273812,0.0190564001168534,0,0,0.00442636703746788,0.0093088528655248,0.017794738268799,0.016075974454572,0,0,0,0.00382999708903998,0.00422661238081538,0.00662308206334752,0.00251023581423365,0.00654887549091899,0.00639080515928059,0.00710515019608128,0.00628526953349436,0.0118599615229469,0.00179626364709932,0.0108028607890697,0.00473208383267828,0,0.00907527503239533,0.0107097216151475
"co_bin.41",0.015749059871729,0,0.00545663381429038,0.0523461600876434,0.0161679552123373,0.013669619433673,0.00221551466879605,0.0124154242577564,0.025264728077647,0.00540354221853892,0.00521295765333134,0,0,0,0,0,0,0,0,0,0.00123202402127374,0,0.00163380401720566,0.00210654148181067,0.00450073693444858,0.00633806239833399,0,0,0,0,0,0,0,0,0
"co_bin.42",0,0.00947131696410905,0,0,0,0,0.00591417751947884,0.00485271147155878,0.0126880742627113,0.0126707561520137,0.00785463482261534,0.0170375344069944,0.012344068130027,0.0199717908708611,0.0100128732349603,0.0142627464767079,0.00951708170461595,0,0,0.00768642392351772,0,0,0.00266159551275537,0.000848718481912872,0,0.00391354191770713,0.00605909994371963,0,0.00421022605405841,0.00526743802072472,0.00332475144885073,0.00402988289699502,0.00319554001317965,0.00612979901026808,0.0162745346870717
"co_bin.43",0.0143703348741194,0.0159142198477398,0.0227882645387803,0.0120988546939812,0.0167824881502188,0.02634017455001,0.00580175595684191,0.00956612355865962,0.00849855882797191,0.0148390044653101,0.00844369953598726,0,0,0,0,0,0,0,0,0.00875926080712487,0.00141147800985352,0.00142282713944518,0.00315044889016109,0.00216611598413311,0.012649343587397,0.00895291106702746,0,0,0.00680229451270832,0,0,0,0,0,0
"co_bin.46",0,0,0,0.00619242740763892,0.00400150791343043,0.00257502692678294,0,0,0.0200896382173576,0.00298226399825253,0,0.0608938003467801,0.0476722355913156,0.0530908530344539,0.0314729707487434,0.00801872954969323,0,0,0,0,0,0,0.00206237810433134,0,0.00174327370051656,0,0,0,0.00537293521899896,0.00123969327138613,0.00195347089992083,0,0,0,0.0293554180988703
"co_bin.48",0,0,0,0.00808528940896286,0.00291695348875034,0.00959635415760068,0,0.00539185025020287,0.00580018979759019,0,0.00423177546775101,0,0,0,0,0,0,0,0.0281648182070245,0.00616144249308747,0.0137778125377816,0.0177668724505753,0.0132743286686308,0.025776331366592,0.00596980473553249,0.00459581087556816,0.00501125781187001,0.00569205862899065,0.00282266277973358,0.00074169587727821,0.00110461724137771,0,0,0,0
"co_bin.49",0,0,0,0,0,0.00403347661632805,0.00215175851282175,0.00331226762602405,0,0.00743571160600246,0.00950700619878168,0,0,0.00211287551046759,0.0066297460023715,0,0.00326877917307226,0,0,0,0,0,0.00864987091398625,0.00194902606180423,0.00465066868522505,0.00326108898292706,0,0.00705424321007921,0.00616716010325761,0.00141527025988744,0.00247376848677288,0.0114946289935014,0,0.0114673170880494,0.00671838448018102
"co_bin.4",0.0853339675825353,0.0723680811684705,0.0199136999175543,0.00644969215136431,0.00830455418021951,0.00145146004400941,0.00233041407926623,0.00846157461784588,0.0354632695920006,0.034268406208752,0.068495678704551,0.0179067459638014,0.0103767739700308,0.00835697375540056,0.00842718215987234,0.00457481716661903,0.00438689307315538,0.0357380065404496,0.0107258115010244,0.0188221835502969,0.00145900181497917,0,0.00366180635865321,0.00392267913106338,0.00430735419241591,0.00286722042357988,0.0119943218568683,0.0249805320078923,0.0416358757139883,0.0012473261721054,0.00224343502896803,0.00159291488636753,0,0.00404163070561376,0
"co_bin.50",0.0226498346106222,0,0,0.01831256357931,0.00960348100401452,0.00521280590189012,0,0.00371916526069802,0.00772773920749561,0,0,0,0,0,0,0,0,0,0,0.00545467451731158,0,0.0010415693514322,0.00834041156507102,0.0135500222245224,0.00984821934993498,0.00658078918169665,0,0,0.00331671102148613,0,0,0,0,0,0
"co_bin.51",0,0,0.00654884618866688,0.00281176666252999,0,0.00126524457552691,0.00435324754013023,0.00399826309712315,0.0123625499639289,0.00968363400133946,0.0136736077354195,0,0,0.0259790600210158,0.0195133840119306,0.0163428403271443,0.0132595802994343,0,0,0,0.00286502301539893,0.00140711685531657,0.002330756327568,0.00204303017635597,0.00589208771826086,0.00132899399288574,0,0,0.00666196750093581,0.0014122145603441,0.0120695770011133,0.00252928672005109,0,0.0100887398802012,0.00520681279198841
"co_bin.52",0,0.0139439330805248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585336257137273,0,0,0,0,0,0.00602320684120377,0.00615386230627028,0,0.000676453613919397,0,0.0218299343836728,0.00650903539031914,0.00549279082036121,0.00975356007676943,0.059058281552148,0.00933786204496313,0.034368762245461,0.00450463684371646
"co_bin.53",0,0.0124253747448548,0.0132160838789589,0.00221883729353841,0,0.00472295290792288,0.0120843982819767,0.00557368264264865,0.0220723560095761,0.011800960246276,0.014899405128295,0,0,0.00561088243017975,0,0,0.00925008573686291,0.0362312679402775,0,0,0.00177269207012258,0.001839953733071,0.00345090707751179,0.00315228225001869,0.00597461781610381,0.00514320148165003,0.00696753066188711,0.00770716259655012,0.0164101823270448,0.0024096620553041,0.00470692210008071,0.00674759610256462,0.0029102471876244,0.0103473324128581,0.0117036699425252
"co_bin.54",0,0.0104234729756109,0,0.0144984247045059,0.0164199136767559,0.00236112716428681,0.0187551644518929,0.00682849215124999,0.00752255975271326,0,0,0,0,0.00523938418096238,0,0.00463246405316487,0.0541023192583407,0,0,0,0.00546921820243913,0.00319932102637603,0.00651412194602315,0.00660596382841372,0.00667404186093627,0.00264292830801211,0,0,0.00505128401740929,0.00256027393469556,0.00480252466713853,0.00299104313383313,0,0.00740394305099005,0.00348677219185789
"co_bin.58",0,0,0.0159560764787354,0.00173981247906183,0,0.00467493197885066,0.0133457214884519,0.0220065935207331,0.00973550430028377,0.00575332035164204,0.0104566155924183,0.00981202263183181,0.0225012602827625,0.0172011960606214,0.00888114523995679,0.067908061463068,0.0225191778401072,0.0202444914141943,0.010608004644774,0,0.00338125909250856,0.012048012087778,0.00843693721045834,0.00412562335619439,0.00555415736550015,0.0048824925291565,0.00975758498841749,0.0173501092549845,0.0163571816136163,0.0221846943379929,0.0324736208370993,0.0287910871084839,0.0510530052520734,0.030764800206056,0.0198055480425341
"co_bin.5",0,0,0,0,0,0,0.00430274324702057,0,0,0.00267331163373758,0,0.00486127421358225,0,0.0101173254622198,0.00870697056974947,0.012358968691967,0.0166962062035963,0,0,0,0,0,0,0,0,0,0.00526998082206072,0,0.00319630401910628,0.0110857475594347,0.00668249816738776,0.0085738502161929,0,0.0125026866881888,0.00370811534774208
"co_bin.63",0,0,0,0,0.0203457210128375,0,0.00316262977581329,0.00652499627830444,0.0105827170460902,0.00325745953929223,0.00830480146406163,0.0048790108726737,0,0.00477084458722047,0,0.0105553672301129,0.00922969700656812,0,0,0,0,0,0.00545732558643349,0.0017776203347794,0.00114218619215595,0.00077930404637032,0.00668684033960811,0.00752454281142289,0.0075861021289603,0.0110224895810432,0.00962664231412483,0.0115612404083633,0.00663344843916741,0.00696301467747868,0.00420808319218093
"co_bin.65",0,0,0,0.00643971186652589,0,0.00210884677710192,0.00814806555651093,0.00203958483543195,0.0123292711566019,0.00386358400737511,0.00586132378308091,0.0169802805189951,0.0103172764727855,0.00772520852119082,0,0.00512013473904444,0.0204877506708236,0,0,0,0,0,0,0,0.00152240033294438,0.00149573072282703,0.00422690202814649,0,0.00680106257938665,0.00636687345553071,0.026321988420266,0.0033007280537805,0,0.00871721974215375,0.00234506281580731
"co_bin.66",0,0,0,0,0.00271269394131193,0.00256212008983415,0.00298900661139411,0.00972597622036456,0,0,0,0,0,0.00410417034251738,0,0,0.0111191972115863,0,0,0,0.00560839980831866,0.00800049098703334,0.00439352766386305,0.00429675832098323,0.00509896436296596,0.0041221808850455,0,0,0.00328213391685083,0.00415367508152331,0.00855155297301057,0.00661867374083745,0,0.00674571950670087,0.0031206370856733
"co_bin.68",0,0,0,0.00825702914514771,0.00541452572283059,0,0.00341766188955697,0.00160557147258487,0.00892277009639693,0.00287200154911238,0,0.00421440833512785,0,0.00814399143582484,0.010213985050657,0.00963411161660325,0.00598734921699657,0,0,0,0.004663572350379,0.00222668963147971,0.00275923987280649,0.00532232861604526,0.00358966134812484,0.00290959599291281,0.00570362867658984,0.00600587462121413,0.00705705035590152,0.00429899205176059,0.00499851956577088,0.00368610893350004,0.00701923497893432,0.00706959252520897,0.00550897614207652
"co_bin.6",0,0.0407567220205382,0.00483556990779476,0,0,0.00186078720951752,0.00456728720752789,0.0476858267541025,0.0165901190088837,0.0224809025978422,0.0152886979223607,0,0,0.0121329050491993,0,0,0,0,0,0.022773834141509,0.00159129400772265,0,0,0.000807090174533343,0.00153552468233039,0.00129804172315948,0.0120888812804509,0.0178088109661167,0.00523299801299391,0.00142434652050522,0,0,0,0,0
